Name	iCh	iFr	Fr(Hz)	Cos	Sin	Amp	PVal
Project	       1	      60	  29.500	  -0.002	   0.007	   0.007	   0.812
Project	       1	      61	  30.000	   0.003	  -0.018	   0.018	   0.218
Project	       1	      62	  30.500	  -0.002	  -0.014	   0.014	   0.416
Project	       1	      63	  31.000	  -0.002	  -0.017	   0.017	   0.217
Project	       1	      64	  31.500	  -0.019	  -0.002	   0.019	   0.153
Project	       1	      65	  32.000	  -0.008	  -0.001	   0.008	   0.716
Project	       1	      66	  32.500	   0.008	   0.014	   0.016	   0.249
Project	       1	      67	  33.000	  -0.008	  -0.021	   0.022	   0.092
Project	       1	      68	  33.500	   0.015	  -0.002	   0.015	   0.362
Project	       1	      69	  34.000	  -0.001	   0.011	   0.011	   0.588
Project	       1	      70	  34.500	   0.011	  -0.009	   0.015	   0.286
Project	       1	      71	  35.000	  -0.021	  -0.001	   0.021	   0.088
Project	       1	      72	  35.500	  -0.004	  -0.004	   0.005	   0.856
Project	       1	      73	  36.000	   0.001	  -0.007	   0.007	   0.673
Project	       1	      74	  36.500	   0.001	   0.007	   0.007	   0.717
Project	       1	      75	  37.000	   0.003	  -0.009	   0.010	   0.600
Project	       1	      76	  37.500	  -0.019	   0.009	   0.021	   0.073
Project	       1	      77	  38.000	   0.011	   0.004	   0.012	   0.419
Project	       1	      78	  38.500	   0.007	  -0.002	   0.008	   0.689
Project	       1	      79	  39.000	  -0.006	   0.007	   0.009	   0.586
Project	       1	      80	  39.500	  -0.004	  -0.005	   0.007	   0.716
Project	       1	      81	  40.000	  -0.009	   0.028	   0.030	   0.005
Project	       1	      82	  40.500	  -0.007	   0.001	   0.007	   0.691
Project	       1	      83	  41.000	   0.005	  -0.000	   0.005	   0.845
Project	       1	      84	  41.500	   0.009	  -0.001	   0.009	   0.624
Project	       1	      85	  42.000	  -0.002	  -0.003	   0.004	   0.881
Project	       1	      86	  42.500	   0.005	  -0.003	   0.006	   0.772
Project	       1	      87	  43.000	  -0.005	   0.001	   0.005	   0.828
Project	       1	      88	  43.500	  -0.008	  -0.015	   0.017	   0.112
Project	       1	      89	  44.000	  -0.001	   0.001	   0.001	   0.989
Project	       1	      90	  44.500	   0.012	  -0.007	   0.014	   0.223
Project	       1	      91	  45.000	   0.010	   0.005	   0.011	   0.374
Project	       1	      92	  45.500	   0.007	  -0.023	   0.024	   0.025
Project	       1	      93	  46.000	  -0.014	  -0.010	   0.017	   0.103
Project	       1	      94	  46.500	   0.005	   0.000	   0.005	   0.843
Project	       1	      95	  47.000	   0.007	  -0.000	   0.007	   0.701
Project	       1	      96	  47.500	   0.001	   0.003	   0.003	   0.946
Project	       1	      97	  48.000	   0.003	  -0.003	   0.004	   0.870
Project	       1	      98	  48.500	  -0.003	  -0.007	   0.008	   0.673
Project	       1	      99	  49.000	  -0.009	   0.019	   0.021	   0.039
Project	       1	     100	  49.500	  -0.012	  -0.002	   0.012	   0.312
Project	       1	     101	  50.000	   0.004	   0.003	   0.005	   0.858
Project	       1	     102	  50.500	   0.000	  -0.001	   0.001	   0.909
Project	       1	     103	  51.000	   0.000	  -0.001	   0.001	   0.799
Project	       1	     104	  51.500	  -0.000	  -0.001	   0.001	   0.724
Project	       1	     105	  52.000	  -0.000	  -0.001	   0.001	   0.637
Project	       2	       1	   0.000	   0.051	   0.000	   0.051	   0.994
Project	       2	       2	   0.500	   0.047	   0.480	   0.482	   0.057
Project	       2	       3	   1.000	  -0.256	  -0.015	   0.257	   0.101
Project	       2	       4	   1.500	   0.060	  -0.038	   0.071	   0.744
Project	       2	       5	   2.000	   0.185	  -0.207	   0.277	   0.001
Project	       2	       6	   2.500	   0.074	  -0.066	   0.099	   0.269
Project	       2	       7	   3.000	   0.044	   0.040	   0.059	   0.472
Project	       2	       8	   3.500	  -0.004	  -0.077	   0.077	   0.246
Project	       2	       9	   4.000	   0.004	   0.077	   0.077	   0.213
Project	       2	      10	   4.500	   0.023	   0.017	   0.029	   0.721
Project	       2	      11	   5.000	  -0.004	  -0.006	   0.007	   0.979
Project	       2	      12	   5.500	   0.037	  -0.044	   0.058	   0.171
Project	       2	      13	   6.000	  -0.002	   0.042	   0.042	   0.432
Project	       2	      14	   6.500	  -0.035	   0.019	   0.040	   0.395
Project	       2	      15	   7.000	  -0.008	  -0.011	   0.013	   0.882
Project	       2	      16	   7.500	   0.023	   0.016	   0.028	   0.624
Project	       2	      17	   8.000	  -0.122	  -0.004	   0.122	   0.000
Project	       2	      18	   8.500	   0.041	  -0.029	   0.050	   0.183
Project	       2	      19	   9.000	  -0.023	  -0.003	   0.023	   0.630
Project	       2	      20	   9.500	  -0.018	   0.045	   0.048	   0.131
Project	       2	      21	  10.000	  -0.008	   0.044	   0.045	   0.311
Project	       2	      22	  10.500	   0.043	  -0.026	   0.050	   0.192
Project	       2	      23	  11.000	  -0.017	   0.003	   0.017	   0.752
Project	       2	      24	  11.500	   0.001	  -0.021	   0.021	   0.621
Project	       2	      25	  12.000	  -0.081	   0.023	   0.084	   0.000
Project	       2	      26	  12.500	   0.023	  -0.013	   0.026	   0.386
Project	       2	      27	  13.000	   0.002	   0.005	   0.005	   0.955
Project	       2	      28	  13.500	  -0.029	   0.019	   0.035	   0.114
Project	       2	      29	  14.000	  -0.008	   0.018	   0.020	   0.484
Project	       2	      30	  14.500	  -0.009	  -0.004	   0.010	   0.838
Project	       2	      31	  15.000	   0.001	   0.006	   0.006	   0.950
Project	       2	      32	  15.500	  -0.009	  -0.005	   0.010	   0.857
Project	       2	      33	  16.000	   0.002	  -0.005	   0.005	   0.957
Project	       2	      34	  16.500	  -0.001	   0.013	   0.013	   0.742
Project	       2	      35	  17.000	  -0.001	   0.005	   0.005	   0.950
Project	       2	      36	  17.500	  -0.011	   0.001	   0.011	   0.845
Project	       2	      37	  18.000	   0.007	   0.011	   0.013	   0.739
Project	       2	      38	  18.500	  -0.015	   0.025	   0.030	   0.286
Project	       2	      39	  19.000	  -0.030	   0.000	   0.030	   0.241
Project	       2	      40	  19.500	   0.001	   0.022	   0.023	   0.462
Project	       2	      41	  20.000	   0.203	  -0.002	   0.203	   0.000
Project	       2	      42	  20.500	  -0.027	   0.047	   0.054	   0.015
Project	       2	      43	  21.000	  -0.006	  -0.026	   0.027	   0.288
Project	       2	      44	  21.500	  -0.033	  -0.006	   0.033	   0.285
Project	       2	      45	  22.000	  -0.003	   0.012	   0.012	   0.797
Project	       2	      46	  22.500	   0.001	  -0.012	   0.013	   0.749
Project	       2	      47	  23.000	  -0.027	  -0.019	   0.033	   0.223
Project	       2	      48	  23.500	   0.022	  -0.012	   0.025	   0.393
Project	       2	      49	  24.000	  -0.006	   0.013	   0.015	   0.676
Project	       2	      50	  24.500	   0.017	   0.008	   0.019	   0.569
Project	       2	      51	  25.000	  -0.005	  -0.006	   0.008	   0.888
Project	       2	      52	  25.500	  -0.032	  -0.003	   0.032	   0.103
Project	       2	      53	  26.000	  -0.016	   0.008	   0.018	   0.464
Project	       2	      54	  26.500	   0.020	   0.004	   0.021	   0.279
Project	       2	      55	  27.000	  -0.012	  -0.013	   0.018	   0.413
Project	       2	      56	  27.500	  -0.019	  -0.006	   0.020	   0.201
Project	       2	      57	  28.000	  -0.028	   0.011	   0.030	   0.071
Project	       2	      58	  28.500	  -0.010	  -0.004	   0.011	   0.591
Project	       2	      59	  29.000	  -0.001	   0.012	   0.012	   0.606
Project	       2	      60	  29.500	  -0.012	  -0.013	   0.018	   0.381
Project	       2	      61	  30.000	  -0.003	  -0.007	   0.008	   0.788
Project	       2	      62	  30.500	  -0.007	  -0.006	   0.010	   0.723
Project	       2	      63	  31.000	  -0.008	   0.012	   0.014	   0.455
Project	       2	      64	  31.500	  -0.010	  -0.000	   0.010	   0.647
Project	       2	      65	  32.000	   0.012	   0.014	   0.019	   0.255
Project	       2	      66	  32.500	  -0.005	   0.007	   0.009	   0.757
Project	       2	      67	  33.000	  -0.014	  -0.017	   0.022	   0.126
Project	       2	      68	  33.500	   0.018	  -0.005	   0.018	   0.242
Project	       2	      69	  34.000	  -0.002	  -0.002	   0.003	   0.956
Project	       2	      70	  34.500	   0.029	  -0.028	   0.040	   0.009
Project	       2	      71	  35.000	  -0.010	  -0.013	   0.017	   0.306
Project	       2	      72	  35.500	  -0.004	  -0.008	   0.009	   0.665
Project	       2	      73	  36.000	   0.004	   0.009	   0.010	   0.593
Project	       2	      74	  36.500	   0.013	  -0.004	   0.014	   0.420
Project	       2	      75	  37.000	  -0.004	   0.003	   0.005	   0.929
Project	       2	      76	  37.500	  -0.001	  -0.005	   0.005	   0.905
Project	       2	      77	  38.000	   0.015	   0.017	   0.022	   0.162
Project	       2	      78	  38.500	   0.011	   0.007	   0.013	   0.499
Project	       2	      79	  39.000	  -0.007	  -0.005	   0.009	   0.686
Project	       2	      80	  39.500	  -0.002	   0.007	   0.008	   0.786
Project	       2	      81	  40.000	  -0.020	   0.013	   0.024	   0.115
Project	       2	      82	  40.500	  -0.004	  -0.020	   0.021	   0.201
Project	       2	      83	  41.000	   0.010	  -0.008	   0.013	   0.447
Project	       2	      84	  41.500	   0.006	  -0.013	   0.014	   0.358
Project	       2	      85	  42.000	  -0.015	  -0.004	   0.016	   0.384
Project	       2	      86	  42.500	   0.016	   0.012	   0.020	   0.128
Project	       2	      87	  43.000	   0.018	  -0.007	   0.019	   0.224
Project	       2	      88	  43.500	   0.016	  -0.010	   0.019	   0.195
Project	       2	      89	  44.000	  -0.005	   0.014	   0.015	   0.381
Project	       2	      90	  44.500	   0.010	  -0.013	   0.016	   0.315
Project	       2	      91	  45.000	  -0.002	   0.009	   0.009	   0.635
Project	       2	      92	  45.500	   0.008	  -0.002	   0.009	   0.708
Project	       2	      93	  46.000	   0.007	   0.018	   0.019	   0.087
Project	       2	      94	  46.500	  -0.005	   0.004	   0.006	   0.793
Project	       2	      95	  47.000	   0.001	   0.003	   0.004	   0.933
Project	       2	      96	  47.500	   0.004	   0.009	   0.010	   0.649
Project	       2	      97	  48.000	  -0.015	   0.015	   0.021	   0.084
Project	       2	      98	  48.500	  -0.004	  -0.001	   0.004	   0.915
Project	       2	      99	  49.000	   0.016	   0.016	   0.022	   0.047
Project	       2	     100	  49.500	  -0.002	  -0.010	   0.011	   0.557
Project	       2	     101	  50.000	  -0.014	   0.002	   0.014	   0.317
Project	       2	     102	  50.500	  -0.001	  -0.002	   0.002	   0.440
Project	       2	     103	  51.000	  -0.001	  -0.001	   0.001	   0.556
Project	       2	     104	  51.500	  -0.001	  -0.001	   0.001	   0.644
Project	       2	     105	  52.000	  -0.001	  -0.001	   0.001	   0.680
Project	       3	       1	   0.000	  -0.356	   0.000	   0.356	   0.629
Project	       3	       2	   0.500	   0.001	   0.450	   0.450	   0.072
Project	       3	       3	   1.000	  -0.036	  -0.056	   0.066	   0.836
Project	       3	       4	   1.500	  -0.038	  -0.022	   0.044	   0.870
Project	       3	       5	   2.000	   0.199	  -0.190	   0.275	   0.000
Project	       3	       6	   2.500	   0.069	   0.001	   0.069	   0.498
Project	       3	       7	   3.000	   0.026	   0.043	   0.050	   0.532
Project	       3	       8	   3.500	   0.009	  -0.004	   0.010	   0.970
Project	       3	       9	   4.000	  -0.087	  -0.017	   0.089	   0.107
Project	       3	      10	   4.500	   0.007	  -0.005	   0.009	   0.971
Project	       3	      11	   5.000	  -0.020	   0.049	   0.053	   0.283
Project	       3	      12	   5.500	  -0.009	  -0.043	   0.044	   0.382
Project	       3	      13	   6.000	   0.031	  -0.022	   0.038	   0.488
Project	       3	      14	   6.500	   0.021	   0.033	   0.039	   0.448
Project	       3	      15	   7.000	  -0.052	  -0.001	   0.052	   0.165
Project	       3	      16	   7.500	   0.021	   0.011	   0.024	   0.688
Project	       3	      17	   8.000	  -0.137	   0.019	   0.138	   0.000
Project	       3	      18	   8.500	   0.028	   0.027	   0.039	   0.413
Project	       3	      19	   9.000	  -0.027	   0.001	   0.027	   0.576
Project	       3	      20	   9.500	  -0.038	   0.046	   0.060	   0.069
Project	       3	      21	  10.000	  -0.009	   0.014	   0.017	   0.873
Project	       3	      22	  10.500	  -0.001	  -0.019	   0.019	   0.778
Project	       3	      23	  11.000	  -0.004	   0.011	   0.011	   0.904
Project	       3	      24	  11.500	  -0.005	  -0.031	   0.032	   0.368
Project	       3	      25	  12.000	  -0.064	   0.007	   0.065	   0.006
Project	       3	      26	  12.500	   0.017	   0.000	   0.017	   0.652
Project	       3	      27	  13.000	   0.022	   0.013	   0.025	   0.432
Project	       3	      28	  13.500	  -0.032	   0.008	   0.033	   0.174
Project	       3	      29	  14.000	  -0.006	   0.033	   0.033	   0.273
Project	       3	      30	  14.500	  -0.023	  -0.004	   0.023	   0.482
Project	       3	      31	  15.000	  -0.018	  -0.004	   0.019	   0.641
Project	       3	      32	  15.500	   0.001	   0.006	   0.006	   0.956
Project	       3	      33	  16.000	   0.010	  -0.018	   0.020	   0.634
Project	       3	      34	  16.500	  -0.003	   0.011	   0.012	   0.871
Project	       3	      35	  17.000	   0.001	   0.035	   0.035	   0.225
Project	       3	      36	  17.500	  -0.003	  -0.004	   0.005	   0.969
Project	       3	      37	  18.000	  -0.020	   0.012	   0.024	   0.643
Project	       3	      38	  18.500	  -0.002	   0.042	   0.042	   0.138
Project	       3	      39	  19.000	  -0.026	  -0.025	   0.036	   0.271
Project	       3	      40	  19.500	   0.030	   0.006	   0.031	   0.423
Project	       3	      41	  20.000	   0.171	  -0.016	   0.172	   0.000
Project	       3	      42	  20.500	  -0.034	   0.006	   0.035	   0.348
Project	       3	      43	  21.000	  -0.029	  -0.030	   0.042	   0.242
Project	       3	      44	  21.500	  -0.016	  -0.019	   0.025	   0.533
Project	       3	      45	  22.000	  -0.021	   0.019	   0.029	   0.481
Project	       3	      46	  22.500	  -0.018	  -0.034	   0.039	   0.234
Project	       3	      47	  23.000	  -0.035	  -0.001	   0.035	   0.293
Project	       3	      48	  23.500	   0.001	   0.004	   0.004	   0.981
Project	       3	      49	  24.000	  -0.028	   0.025	   0.038	   0.139
Project	       3	      50	  24.500	   0.013	   0.007	   0.015	   0.793
Project	       3	      51	  25.000	   0.022	  -0.012	   0.025	   0.451
Project	       3	      52	  25.500	  -0.024	  -0.008	   0.026	   0.373
Project	       3	      53	  26.000	   0.006	   0.026	   0.027	   0.391
Project	       3	      54	  26.500	  -0.021	   0.008	   0.022	   0.373
Project	       3	      55	  27.000	  -0.009	  -0.015	   0.017	   0.539
Project	       3	      56	  27.500	   0.000	  -0.002	   0.002	   0.993
Project	       3	      57	  28.000	  -0.035	  -0.008	   0.036	   0.135
Project	       3	      58	  28.500	  -0.026	  -0.009	   0.027	   0.163
Project	       3	      59	  29.000	  -0.015	  -0.008	   0.017	   0.555
Project	       3	      60	  29.500	  -0.005	   0.004	   0.006	   0.930
Project	       3	      61	  30.000	  -0.015	   0.014	   0.020	   0.370
Project	       3	      62	  30.500	   0.021	  -0.001	   0.021	   0.387
Project	       3	      63	  31.000	  -0.007	  -0.012	   0.013	   0.678
Project	       3	      64	  31.500	  -0.012	  -0.002	   0.013	   0.738
Project	       3	      65	  32.000	   0.020	   0.013	   0.024	   0.246
Project	       3	      66	  32.500	  -0.006	   0.037	   0.037	   0.031
Project	       3	      67	  33.000	   0.004	  -0.022	   0.023	   0.297
Project	       3	      68	  33.500	  -0.008	  -0.004	   0.008	   0.869
Project	       3	      69	  34.000	   0.001	  -0.000	   0.001	   0.996
Project	       3	      70	  34.500	   0.004	  -0.024	   0.024	   0.252
Project	       3	      71	  35.000	  -0.027	   0.001	   0.027	   0.145
Project	       3	      72	  35.500	   0.008	  -0.010	   0.013	   0.696
Project	       3	      73	  36.000	   0.007	   0.014	   0.015	   0.606
Project	       3	      74	  36.500	  -0.016	   0.011	   0.019	   0.483
Project	       3	      75	  37.000	   0.016	  -0.005	   0.017	   0.525
Project	       3	      76	  37.500	  -0.021	  -0.005	   0.022	   0.380
Project	       3	      77	  38.000	  -0.016	  -0.005	   0.017	   0.605
Project	       3	      78	  38.500	  -0.017	  -0.014	   0.022	   0.390
Project	       3	      79	  39.000	  -0.017	   0.033	   0.037	   0.046
Project	       3	      80	  39.500	   0.007	   0.011	   0.013	   0.747
Project	       3	      81	  40.000	   0.009	   0.023	   0.025	   0.286
Project	       3	      82	  40.500	  -0.009	   0.002	   0.009	   0.862
Project	       3	      83	  41.000	   0.021	  -0.007	   0.022	   0.263
Project	       3	      84	  41.500	  -0.008	  -0.032	   0.033	   0.061
Project	       3	      85	  42.000	   0.015	   0.000	   0.015	   0.633
Project	       3	      86	  42.500	  -0.022	   0.000	   0.022	   0.320
Project	       3	      87	  43.000	   0.017	  -0.005	   0.017	   0.426
Project	       3	      88	  43.500	   0.014	  -0.017	   0.023	   0.284
Project	       3	      89	  44.000	   0.029	   0.013	   0.032	   0.157
Project	       3	      90	  44.500	   0.005	  -0.017	   0.018	   0.487
Project	       3	      91	  45.000	  -0.009	  -0.001	   0.009	   0.830
Project	       3	      92	  45.500	  -0.019	  -0.014	   0.024	   0.285
Project	       3	      93	  46.000	  -0.017	   0.022	   0.028	   0.183
Project	       3	      94	  46.500	  -0.025	   0.008	   0.026	   0.170
Project	       3	      95	  47.000	   0.007	   0.008	   0.011	   0.730
Project	       3	      96	  47.500	   0.020	   0.019	   0.028	   0.195
Project	       3	      97	  48.000	  -0.011	  -0.009	   0.014	   0.457
Project	       3	      98	  48.500	  -0.006	   0.013	   0.015	   0.521
Project	       3	      99	  49.000	   0.007	  -0.000	   0.007	   0.872
Project	       3	     100	  49.500	  -0.005	   0.001	   0.005	   0.941
Project	       3	     101	  50.000	   0.019	   0.002	   0.019	   0.328
Project	       3	     102	  50.500	   0.003	   0.001	   0.003	   0.410
Project	       3	     103	  51.000	   0.002	   0.001	   0.002	   0.409
Project	       3	     104	  51.500	   0.002	   0.000	   0.002	   0.453
Project	       3	     105	  52.000	   0.002	   0.000	   0.002	   0.478
Project	       4	       1	   0.000	  -2.323	   0.000	   2.323	   0.000
Project	       4	       2	   0.500	   0.123	   0.224	   0.255	   0.095
Project	       4	       3	   1.000	  -0.121	  -0.028	   0.124	   0.187
Project	       4	       4	   1.500	  -0.013	  -0.041	   0.043	   0.727
Project	       4	       5	   2.000	   0.200	  -0.117	   0.232	   0.000
Project	       4	       6	   2.500	   0.001	  -0.053	   0.053	   0.374
Project	       4	       7	   3.000	   0.029	  -0.034	   0.045	   0.426
Project	       4	       8	   3.500	  -0.047	  -0.007	   0.048	   0.323
Project	       4	       9	   4.000	  -0.041	   0.008	   0.042	   0.457
Project	       4	      10	   4.500	   0.026	   0.021	   0.033	   0.486
Project	       4	      11	   5.000	  -0.023	   0.012	   0.026	   0.625
Project	       4	      12	   5.500	  -0.005	  -0.030	   0.030	   0.502
Project	       4	      13	   6.000	   0.015	  -0.011	   0.019	   0.779
Project	       4	      14	   6.500	   0.025	   0.012	   0.027	   0.535
Project	       4	      15	   7.000	  -0.007	   0.001	   0.007	   0.956
Project	       4	      16	   7.500	   0.029	   0.008	   0.030	   0.433
Project	       4	      17	   8.000	  -0.102	   0.017	   0.104	   0.000
Project	       4	      18	   8.500	   0.006	   0.027	   0.027	   0.494
Project	       4	      19	   9.000	  -0.020	   0.009	   0.022	   0.578
Project	       4	      20	   9.500	  -0.037	   0.016	   0.041	   0.171
Project	       4	      21	  10.000	  -0.011	  -0.022	   0.025	   0.653
Project	       4	      22	  10.500	   0.014	  -0.016	   0.021	   0.617
Project	       4	      23	  11.000	   0.002	   0.025	   0.025	   0.427
Project	       4	      24	  11.500	   0.004	  -0.033	   0.033	   0.165
Project	       4	      25	  12.000	  -0.046	   0.023	   0.051	   0.003
Project	       4	      26	  12.500	  -0.004	  -0.019	   0.019	   0.415
Project	       4	      27	  13.000	   0.018	   0.002	   0.018	   0.452
Project	       4	      28	  13.500	  -0.020	   0.004	   0.021	   0.316
Project	       4	      29	  14.000	  -0.011	   0.029	   0.031	   0.097
Project	       4	      30	  14.500	  -0.026	   0.007	   0.027	   0.141
Project	       4	      31	  15.000	  -0.023	   0.016	   0.027	   0.108
Project	       4	      32	  15.500	  -0.008	   0.010	   0.012	   0.661
Project	       4	      33	  16.000	   0.000	  -0.037	   0.037	   0.035
Project	       4	      34	  16.500	   0.020	  -0.000	   0.020	   0.471
Project	       4	      35	  17.000	   0.003	  -0.002	   0.004	   0.970
Project	       4	      36	  17.500	  -0.013	   0.016	   0.020	   0.432
Project	       4	      37	  18.000	  -0.031	  -0.010	   0.033	   0.075
Project	       4	      38	  18.500	   0.014	   0.022	   0.025	   0.238
Project	       4	      39	  19.000	  -0.012	  -0.016	   0.020	   0.550
Project	       4	      40	  19.500	  -0.003	   0.003	   0.004	   0.966
Project	       4	      41	  20.000	   0.091	  -0.033	   0.097	   0.000
Project	       4	      42	  20.500	   0.005	   0.010	   0.011	   0.821
Project	       4	      43	  21.000	   0.018	  -0.044	   0.048	   0.009
Project	       4	      44	  21.500	  -0.010	   0.003	   0.010	   0.793
Project	       4	      45	  22.000	  -0.023	  -0.040	   0.046	   0.004
Project	       4	      46	  22.500	  -0.012	  -0.007	   0.014	   0.610
Project	       4	      47	  23.000	   0.002	  -0.018	   0.019	   0.351
Project	       4	      48	  23.500	   0.026	   0.026	   0.037	   0.021
Project	       4	      49	  24.000	  -0.016	   0.007	   0.018	   0.381
Project	       4	      50	  24.500	   0.026	  -0.001	   0.026	   0.122
Project	       4	      51	  25.000	   0.018	  -0.004	   0.018	   0.310
Project	       4	      52	  25.500	  -0.021	   0.000	   0.021	   0.197
Project	       4	      53	  26.000	  -0.004	   0.019	   0.020	   0.218
Project	       4	      54	  26.500	  -0.007	   0.027	   0.027	   0.013
Project	       4	      55	  27.000	  -0.010	  -0.001	   0.010	   0.573
Project	       4	      56	  27.500	  -0.001	   0.008	   0.008	   0.726
Project	       4	      57	  28.000	   0.004	   0.017	   0.017	   0.183
Project	       4	      58	  28.500	  -0.001	  -0.003	   0.003	   0.951
Project	       4	      59	  29.000	  -0.016	  -0.002	   0.016	   0.247
Project	       4	      60	  29.500	  -0.009	   0.011	   0.014	   0.391
Project	       4	      61	  30.000	   0.003	   0.031	   0.031	   0.011
Project	       4	      62	  30.500	   0.012	  -0.001	   0.012	   0.373
Project	       4	      63	  31.000	   0.004	   0.006	   0.007	   0.729
Project	       4	      64	  31.500	   0.010	   0.004	   0.010	   0.496
Project	       4	      65	  32.000	   0.000	   0.006	   0.006	   0.798
Project	       4	      66	  32.500	   0.010	   0.002	   0.010	   0.491
Project	       4	      67	  33.000	   0.003	   0.014	   0.014	   0.366
Project	       4	      68	  33.500	   0.009	  -0.000	   0.009	   0.534
Project	       4	      69	  34.000	   0.007	   0.006	   0.010	   0.573
Project	       4	      70	  34.500	  -0.003	  -0.010	   0.010	   0.509
Project	       4	      71	  35.000	  -0.010	   0.012	   0.016	   0.247
Project	       4	      72	  35.500	   0.001	   0.006	   0.006	   0.799
Project	       4	      73	  36.000	   0.015	  -0.008	   0.017	   0.170
Project	       4	      74	  36.500	  -0.011	  -0.007	   0.013	   0.403
Project	       4	      75	  37.000	  -0.002	   0.004	   0.004	   0.915
Project	       4	      76	  37.500	  -0.009	  -0.003	   0.010	   0.535
Project	       4	      77	  38.000	  -0.012	  -0.005	   0.013	   0.318
Project	       4	      78	  38.500	  -0.004	   0.000	   0.004	   0.888
Project	       4	      79	  39.000	   0.006	  -0.003	   0.007	   0.772
Project	       4	      80	  39.500	  -0.011	   0.006	   0.013	   0.300
Project	       4	      81	  40.000	   0.017	  -0.002	   0.018	   0.221
Project	       4	      82	  40.500	   0.008	  -0.009	   0.012	   0.345
Project	       4	      83	  41.000	   0.008	  -0.005	   0.009	   0.551
